,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,location_lat,location_long
52,Gwalior,Moderate,114,PM2.5,1,28/03/2022,26.2037247,78.1573628
53,Hajipur,Moderate,171,PM2.5,1,28/03/2022,25.7205805,85.25555961402884
54,Haldia,Moderate,127,PM10,1,28/03/2022,22.028124,88.0632655
55,Hapur,Poor,212,PM2.5,1,28/03/2022,28.740612499999997,77.83542556519009
56,Hassan,Satisfactory,53,PM10,1,28/03/2022,13.0070817,76.0992703
57,Hisar,Poor,243,PM2.5,1,28/03/2022,29.080640950000003,75.788754109493
58,Howrah,Poor,204,"PM, PM102.5",3,28/03/2022,22.5736296,88.3251045
59,Hyderabad,Satisfactory,83,"PM, PM102.5",5,28/03/2022,17.360589,78.4740613
60,Indore,Moderate,104,O3,1,28/03/2022,22.7203616,75.8681996
61,Jabalpur,Moderate,148,PM10,1,28/03/2022,23.1608938,79.9497702
62,Jaipur,Satisfactory,88,PM10,2,28/03/2022,26.9154576,75.8189817
63,Jalandhar,Moderate,120,PM10,1,28/03/2022,31.29201065,75.56805772253911
64,Jind,Moderate,147,PM2.5,1,28/03/2022,29.301826249999998,76.33847076788838
65,Jodhpur,Poor,211,PM2.5,1,28/03/2022,26.2967719,73.0351433
66,Kaithal,Moderate,151,PM2.5,1,28/03/2022,29.822820749999998,76.37830986647243
67,Kalaburgi,Satisfactory,80,PM10,1,28/03/2022,17.315062949999998,76.83148611586668
68,Kalyan,Poor,270,PM2.5,1,28/03/2022,19.2716301,73.23586552517415
69,Kannur,Satisfactory,52,PM10,1,28/03/2022,11.8763391,75.3737987
70,Kanpur,Moderate,171,PM10,3,28/03/2022,26.4609135,80.3217588
71,Karnal,Moderate,124,PM2.5,1,28/03/2022,29.6803266,76.9896254
72,Katihar,Very Poor,323,PM2.5,1,28/03/2022,25.560900349999997,87.64765353997149
73,Katni,Satisfactory,92,PM10,1,28/03/2022,23.8339621,80.392456
74,Khanna,Satisfactory,90,PM10,1,28/03/2022,25.5656914,80.0634887
75,Kishanganj,Poor,272,PM2.5,1,28/03/2022,26.130435300000002,87.94010318229245
76,Kochi,Moderate,122,PM2.5,1,28/03/2022,9.931308,76.2674136
77,Kolkata,Moderate,149,"PM, PM2.510",5,28/03/2022,22.5414185,88.35769124388872
78,Kollam,Satisfactory,88,PM10,1,28/03/2022,8.8879509,76.5955013
79,Koppal,Satisfactory,93,O3,1,28/03/2022,15.3484144,76.1547421
80,Kota,Moderate,168,PM2.5,1,28/03/2022,25.1737019,75.8574194
81,Kozhikode,Satisfactory,62,PM10,1,28/03/2022,11.2450558,75.7754716
82,Kurukshetra,Poor,231,PM2.5,1,28/03/2022,29.9693747,76.8482787
83,Lucknow,Moderate,165,"PM, O2.53",6,28/03/2022,26.8381,80.9346001
84,Ludhiana,Moderate,179,PM10,1,28/03/2022,30.9090157,75.851601
85,Mandi Gobindgarh,Satisfactory,86,PM10,1,28/03/2022,30.6518301,76.2998708
86,Mandideep,Moderate,185,PM10,1,28/03/2022,23.0965633,77.5144525
87,Mandikhera,Satisfactory,99,PM10,1,28/03/2022,27.9000942,76.9936654
88,Manesar,Moderate,195,PM2.5,1,28/03/2022,28.32470955,76.92637867182586
89,Manglore,Satisfactory,51,CO,1,28/03/2022,12.87054545,74.84165833577245
90,Manguraha,Satisfactory,96,O3,1,28/03/2022,,
91,Meerut,Poor,281,PM2.5,1,28/03/2022,29.000652549999998,77.76822875372174
92,Moradabad,Moderate,197,PM2.5,4,28/03/2022,28.8638424,78.80577833091104
93,Motihari,Poor,242,PM2.5,1,28/03/2022,26.66951195,84.95741062485514
94,Mumbai,Moderate,170,"PM, PM2.510",19,28/03/2022,19.0759899,72.8773928
95,Munger,Moderate,184,PM10,1,28/03/2022,25.22081165,86.51720367235285
96,Muzaffarnagar,Very Poor,302,PM2.5,1,28/03/2022,29.4662369,77.6961699
97,Muzaffarpur,Poor,282,"PM, PM102.5",3,28/03/2022,26.1486581,85.34001282479626
98,Mysuru,Good,48,PM10,1,28/03/2022,12.3051828,76.6553609
99,Nagpur,Satisfactory,75,CO,1,28/03/2022,21.1498134,79.0820556
100,Naharlagun,Poor,204,PM10,1,28/03/2022,27.1032229,93.6923098
101,Narnaul,Moderate,114,PM2.5,1,28/03/2022,27.997083250000003,76.0757621771358
102,Nashik,Satisfactory,82,PM2.5,1,28/03/2022,20.0112475,73.7902364
103,Navi Mumbai,Moderate,178,"PM, CO10",2,28/03/2022,19.0308262,73.0198537
104,Noida,Moderate,169,PM2.5,1,28/03/2022,28.5707841,77.3271074
105,Pali,Moderate,140,PM2.5,1,28/03/2022,48.8588897,2.3200410217200766
106,Palwal,Moderate,104,PM10,1,28/03/2022,28.176958900000002,77.37311203790532
107,Panchkula,Moderate,140,PM2.5,1,28/03/2022,30.7137692,76.86827600027706
108,Panipat,Moderate,170,PM10,1,28/03/2022,29.3912753,76.9771675
109,Patiala,Moderate,120,PM10,1,28/03/2022,30.2090874,76.3398720856221
110,Patna,Poor,214,"PM, PM2.510",5,28/03/2022,25.6093239,85.1235252
111,Pithampur,Satisfactory,79,PM10,1,28/03/2022,22.6105576,75.6790283
112,Prayagraj,Moderate,129,"O, PM310",3,28/03/2022,25.4381302,81.8338005
113,Puducherry,Good,49,O3,1,28/03/2022,11.9340568,79.8306447
114,Pune,Moderate,149,PM2.5,5,28/03/2022,18.521428,73.8544541
115,Purnia,Poor,248,PM2.5,1,28/03/2022,26.0,87.5
116,Raichur,Satisfactory,82,PM10,1,28/03/2022,16.083333,77.166667
117,Rajamahendravaram,Satisfactory,70,PM10,1,28/03/2022,17.0050454,81.7804732
118,Rajgir,Moderate,155,O3,1,28/03/2022,25.0350026,85.36611304861461
119,Ratlam,Moderate,108,PM10,1,28/03/2022,23.4805919,74.91778971237613
120,Rohtak,Poor,201,PM2.5,1,28/03/2022,28.9010899,76.5801935
121,Rupnagar,Moderate,141,PM2.5,1,28/03/2022,31.09168085,76.5272673916138
122,Sagar,Satisfactory,69,CO,1,28/03/2022,23.80961225,78.75911360578634
123,Saharsa,Very Poor,325,PM10,1,28/03/2022,25.83264165,86.61489283342814
124,Sasaram,Moderate,173,PM2.5,1,28/03/2022,24.9001003,84.0182110684575
125,Satna,Satisfactory,52,PM10,1,28/03/2022,24.5,81.0
126,Siliguri,Moderate,176,PM2.5,1,28/03/2022,26.714547,88.43972157930162
127,Singrauli,Poor,272,PM10,1,28/03/2022,24.1974432,82.6661453
128,Sirsa,Moderate,101,O3,1,28/03/2022,29.583333,75.083333
129,Solapur,Satisfactory,88,PM2.5,1,28/03/2022,17.84990665,75.27632027348457
130,Talcher,Moderate,109,PM10,1,28/03/2022,20.9458183,85.2111736
131,Thane,Poor,227,PM10,1,28/03/2022,19.1943294,72.9701779
132,Thiruvananthapuram,Satisfactory,55,"PM, PM102.5",2,28/03/2022,8.5241122,76.9360573
133,Thoothukudi,Good,38,PM10,1,28/03/2022,8.8052602,78.1452745
134,Udaipur,Moderate,151,PM2.5,1,28/03/2022,24.578721,73.6862571
135,Ujjain,Moderate,143,PM10,1,28/03/2022,23.1885131,75.7716562
136,Vapi,Moderate,171,PM10,1,28/03/2022,20.3735482,72.9084376
137,Varanasi,Moderate,108,PM10,4,28/03/2022,25.3356491,83.0076292
138,Vatva,Poor,203,PM2.5,1,28/03/2022,22.9589978,72.6297981
139,Vijayapura,Satisfactory,51,PM10,1,28/03/2022,16.666667,75.916667
140,Visakhapatnam,Moderate,130,PM10,1,28/03/2022,17.7231276,83.3012842
141,Yadgir,Satisfactory,53,PM10,1,28/03/2022,16.7689044,77.1380381
142,Yamunanagar,Poor,251,PM2.5,1,28/03/2022,30.2112003,77.28638972360895
